Age Group,Gender,Education Level,Occupation,Monthly Income (₹),Area of Residence in Mumbai,How often do you shop for consumer products?,Which type of products do you generally prefer?,For which product categories do you prefer branded products?,"When buying clothes (e.g., Zudio, Pantaloons vs local street shops), what do you usually prefer?"," For groceries (e.g., packaged brands vs local kirana stores in Mumbai), what do you prefer?","For electronics (e.g., mobile phones, earphones), which do you trust more?","What factors influence your purchase decision the most?
(Select up to 3)",Branded products offer better quality than unbranded products., Unbranded products are value for money., Do you believe branded products reflect social status?, I feel more confident using branded products in social situations., People in Mumbai are influenced by brand image while shopping.,Social media and advertisements influence my choice of branded products.," Local markets in Mumbai (e.g., street markets, local shops) influence my decision to buy unbranded products.",Shopping malls and branded stores in Mumbai influence my preference for branded products.,Rising cost of living in Mumbai makes me more price-conscious while shopping.,"In your opinion, what best describes your buying behaviour?"
Below 20,female,Undergraduate,Student,Not applicable,Western Suburbs,Frequently,Depends on the product,"Clothing, Electronics, Personal care products, Footwear",Both,Both equally,Branded products,"Price, Quality, Recommendations from others",Agree,Neutral,Yes,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Smart spender (value-oriented)
21–30,female,School level,Student,Not applicable,Navi Mumbai,Very frequently,Depends on the product,"Electronics, Personal care products",Both,Depends on availability,Branded products,"Price, Quality, Brand name",Neutral,Neutral,Maybe,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Depends on the situation
21–30,female,Undergraduate,Student,Not applicable,Navi Mumbai,Frequently,Depends on the product,"Clothing, Electronics, Personal care products, Footwear",Both,Both equally,Branded products,Quality,Strongly Agree,Disagree,Sometimes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Combination of both
21–30,male,Professional qualification,Student,"Below 20,000",Navi Mumbai,Occasionally,Mostly unbranded,Electronics,Depends on price and occasion,Mostly branded packaged products,Branded products,"Price, Quality, Brand name",Agree,Neutral,Yes,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Smart spender (value-oriented)
21–30,female,Undergraduate,Student,"Below 20,000",Navi Mumbai,Very frequently,Depends on the product,"Electronics, Personal care products",Depends on price and occasion,Both equally,Branded products,"Price, Quality",Neutral,Neutral,Yes,Strongly Agree,Strongly agree,Agree,Agree,Agree,Neutral,Combination of both
Below 20,male,Undergraduate,Student,"20,001 – 40,000",Thane,Frequently,Depends on the product,"Clothing, Personal care products",Depends on price and occasion,Both equally,Branded products,"Price, Quality, Recommendations from others",Agree,Disagree,Sometimes,Neutral,Agree,Agree,Neutral,Neutral,Agree,Depends on the situation
21–30,female,Undergraduate,Student,"20,001 – 40,000",Western Suburbs,Frequently,Mostly branded,Groceries,Depends on price and occasion,Both equally,Branded products,"Price, Quality, Brand name",Disagree,Disagree,Yes,Agree,Agree,Disagree,Agree,Disagree,Agree,Smart spender (value-oriented)
21–30,male,Undergraduate,Student,"Below 20,000",Thane,Very frequently,Mostly unbranded,Electronics,Both,Mostly local/unbranded products,Unbranded / local products,"Price, Quality, Brand name, Social status, Advertisement, Recommendations from others",Disagree,Neutral,Yes,Disagree,Strongly disagree,Neutral,Agree,Agree,Disagree,Smart spender (value-oriented)
Above 50,prefer not to say,School level,Homemaker,Not applicable,South Mumbai,Rarely,Depends on the product,"Personal care products, Footwear",Branded stores only,Depends on availability,Unbranded / local products,"Brand name, Social status, Advertisement",Strongly Disagree,Strongly agree,Sometimes,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly agree,Strongly disagree,Status-oriented buyer
21–30,female,Undergraduate,Student,"Below 20,000",Navi Mumbai,Very frequently,Mostly branded,"Clothing, Electronics, Personal care products",Depends on price and occasion,Both equally,Branded products,"Price, Quality, Brand name",Agree,Neutral,Sometimes,Agree,Agree,Neutral,Neutral,Agree,Agree,Combination of both
21–30,female,Undergraduate,Student,"40,001 – 60,000",Navi Mumbai,Frequently,Depends on the product,"Clothing, Electronics",Branded stores only,Mostly local/unbranded products,Branded products,"Price, Quality",Neutral,Agree,No,Disagree,Agree,Agree,Agree,Agree,Agree,Smart spender (value-oriented)
21–30,female,Undergraduate,Student,Not applicable,Thane,Very frequently,Both,"Electronics, Personal care products, Footwear",Both,Both equally,Branded products,"Price, Quality, Brand name, Social status",Agree,Neutral,Sometimes,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Combination of both
21–30,female,Undergraduate,Student,Not applicable,Navi Mumbai,Frequently,Both,"Clothing, Electronics, Personal care products",Both,Both equally,Branded products,"Price, Quality, Brand name, Advertisement",Agree,Neutral,Sometimes,Neutral,Neutral,Agree,Agree,Neutral,Agree,Combination of both
Below 20,female,Undergraduate,Student,"40,001 – 60,000",Navi Mumbai,Very frequently,Both,"Clothing, Electronics, Personal care products, Footwear",Depends on price and occasion,Mostly local/unbranded products,Branded products,"Price, Quality, Brand name",Agree,Neutral,No,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Combination of both
41–50,male,Professional qualification,Salaried employee,"Above 60,000",Navi Mumbai,Very frequently,Mostly branded,"Clothing, Electronics, Personal care products",Branded stores only,Mostly branded packaged products,Branded products,"Price, Quality, Brand name",Strongly Agree,Disagree,Yes,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly agree,Neutral,Combination of both
Below 20,male,Undergraduate,Student,Not applicable,Navi Mumbai,Frequently,Depends on the product,Electronics,Depends on price and occasion,Depends on availability,Branded products,"Price, Quality, Brand name",Neutral,Neutral,No,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Combination of both
Above 50,male,Professional qualification,Salaried employee,"Above 60,000",Navi Mumbai,Frequently,Both,"Clothing, Electronics, Personal care products",Both,Both equally,both,"Price, Quality, Social status",Strongly Agree,Disagree,Sometimes,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Smart spender (value-oriented)
21–30,female,Undergraduate,Student,Not applicable,Navi Mumbai,Frequently,Mostly branded,Clothing,Depends on price and occasion,Both equally,Branded products,"Price, Quality, Brand name",Neutral,Neutral,Sometimes,Agree,Neutral,Disagree,Neutral,Agree,Agree,Smart spender (value-oriented)
Below 20,prefer not to say,Undergraduate,Student,Not applicable,South Mumbai,Frequently,Depends on the product,"Clothing, Electronics, Personal care products, Footwear",Depends on price and occasion,Mostly branded packaged products,Branded products,"Price, Quality, Brand name, Recommendations from others",Agree,Agree,Sometimes,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Smart spender (value-oriented)
21–30,male,Undergraduate,Student,Not applicable,Navi Mumbai,Rarely,Mostly unbranded,None,Depends on price and occasion,Both equally,Depends on warranty and price,Brand name,Neutral,Disagree,Sometimes,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Depends on the situation
21–30,male,Undergraduate,Student,Not applicable,Navi Mumbai,Frequently,Mostly branded,"Clothing, Electronics, Personal care products, Footwear",Branded stores only,Mostly branded packaged products,Branded products,"Price, Quality, Brand name",Strongly Agree,Agree,No,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Smart spender (value-oriented)
Below 20,male,Undergraduate,Student,"Below 20,000",Navi Mumbai,Frequently,Mostly branded,Electronics,Depends on price and occasion,Depends on availability,Branded products,Quality,Agree,Neutral,Sometimes,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Depends on the situation
21–30,female,Undergraduate,Student,Not applicable,Navi Mumbai,Very frequently,Both,"Clothing, Electronics, Personal care products, Groceries",Both,Both equally,both,"Price, Quality, Brand name",Neutral,Strongly agree,Yes,Strongly Agree,Strongly agree,Strongly Agree,Neutral,Strongly agree,Neutral,Combination of both
Below 20,male,Undergraduate,Student,"Below 20,000",South Mumbai,Frequently,Depends on the product,"Clothing, Electronics, Personal care products, Footwear",Depends on price and occasion,Mostly branded packaged products,Branded products,"Price, Brand name, Social status",Agree,Neutral,Yes,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Agree,Neutral,Depends on the situation
21–30,female,Undergraduate,Student,Not applicable,Thane,Frequently,Mostly branded,Personal care products,Both,Mostly local/unbranded products,Branded products,"Price, Quality, Brand name",Strongly Agree,Neutral,Yes,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly agree,Agree,Depends on the situation
21–30,female,Undergraduate,Student,Not applicable,Thane,Frequently,Both,"Electronics, Footwear",Both,Both equally,Depends on warranty and price,Price,Agree,Agree,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Combination of both
21–30,female,Undergraduate,Student,Not applicable,Navi Mumbai,Occasionally,Mostly branded,"Clothing, Personal care products",Branded stores only,Both equally,Branded products,"Quality, Recommendations from others",Neutral,Neutral,Yes,Agree,Strongly disagree,Disagree,Strongly Agree,Agree,Strongly agree,Smart spender (value-oriented)
Below 20,female,Undergraduate,Student,"40,001 – 60,000",Thane,Rarely,Mostly unbranded,"Electronics, Personal care products, Footwear",Local / unbranded shops only,Both equally,Branded products,"Price, Quality",Neutral,Agree,No,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Smart spender (value-oriented)
21–30,female,Undergraduate,Student,Not applicable,Thane,Occasionally,Depends on the product,"Clothing, Electronics, Personal care products",Branded stores only,Mostly local/unbranded products,Branded products,"Price, Quality, Brand name",Agree,Neutral,Sometimes,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Smart spender (value-oriented)
Below 20,female,Undergraduate,Student,"Below 20,000",Western Suburbs,Occasionally,Depends on the product,"Clothing, Electronics, Personal care products",Depends on price and occasion,Depends on availability,Branded products,"Price, Quality, Recommendations from others",Neutral,Neutral,Sometimes,Disagree,Agree,Disagree,Agree,Neutral,Strongly agree,Combination of both
21–30,male,Undergraduate,Student,"Below 20,000",Navi Mumbai,Frequently,Depends on the product,"Clothing, Electronics, Footwear",Both,Both equally,Branded products,"Price, Quality, Social status",Agree,Agree,Yes,Neutral,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Depends on the situation
21–30,female,Undergraduate,Student,Not applicable,Navi Mumbai,Rarely,Depends on the product,"Clothing, Electronics, Personal care products",Depends on price and occasion,Depends on availability,both,"Social status, Advertisement, Recommendations from others",Neutral,Neutral,Sometimes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Combination of both
31–40,male,Postgraduate,Salaried employee,"20,001 – 40,000",Central Suburbs,Very frequently,Mostly branded,"Clothing, Electronics, Groceries",Branded stores only,Mostly branded packaged products,Branded products,"Price, Quality, Social status",Strongly Agree,Strongly disagree,Yes,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Status-oriented buyer
41–50,male,Professional qualification,Salaried employee,"Above 60,000",Western Suburbs,Occasionally,Depends on the product,"Clothing, Electronics, Personal care products, Groceries",Depends on price and occasion,Depends on availability,Depends on warranty and price,"Price, Quality, Advertisement",Strongly Agree,Strongly agree,Sometimes,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Depends on the situation
Below 20,female,Undergraduate,Student,Not applicable,Thane,Rarely,Mostly unbranded,"Clothing, Electronics",Local / unbranded shops only,Mostly local/unbranded products,Unbranded / local products,"Quality, Brand name",Disagree,Strongly agree,No,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly agree,Strongly agree,Smart spender (value-oriented)
21–30,male,Undergraduate,Student,Not applicable,Navi Mumbai,Very frequently,Depends on the product,"Electronics, Personal care products",Local / unbranded shops only,Mostly local/unbranded products,Branded products,Quality,Strongly Disagree,Strongly agree,No,Strongly Disagree,Strongly agree,Strongly Disagree,Neutral,Neutral,Strongly agree,Smart spender (value-oriented)
21–30,male,Undergraduate,Student,"20,001 – 40,000",South Mumbai,Frequently,Mostly branded,"Clothing, Electronics, Personal care products, Footwear, Groceries",Branded stores only,Mostly branded packaged products,Branded products,"Price, Quality",Agree,Neutral,Sometimes,Agree,Strongly agree,Strongly Agree,Disagree,Agree,Neutral,Combination of both
Below 20,male,Undergraduate,Student,Not applicable,Thane,Very frequently,Depends on the product,"Clothing, Electronics, Personal care products, Groceries",Depends on price and occasion,Depends on availability,Depends on warranty and price,"Price, Quality, Brand name, Social status",Neutral,Neutral,Sometimes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Smart spender (value-oriented)
Above 50,female,Undergraduate,Student,"20,001 – 40,000",Western Suburbs,Very frequently,Mostly branded,"Clothing, Electronics",Branded stores only,Mostly branded packaged products,Depends on warranty and price,"Price, Quality, Brand name",Strongly Agree,Strongly agree,Yes,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Combination of both
31–40,male,Undergraduate,Salaried employee,"40,001 – 60,000",South Mumbai,Frequently,Mostly unbranded,Clothing,Branded stores only,Mostly branded packaged products,Unbranded / local products,"Price, Social status, Advertisement",Disagree,Neutral,Yes,Agree,Disagree,Disagree,Agree,Agree,Neutral,Combination of both
21–30,male,Undergraduate,Student,Not applicable,Western Suburbs,Occasionally,Depends on the product,Clothing,Branded stores only,Depends on availability,Branded products,Brand name,Agree,Neutral,Yes,Strongly Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Status-oriented buyer
41–50,male,School level,Salaried employee,"Above 60,000",Central Suburbs,Frequently,Mostly unbranded,"Clothing, Electronics",Depends on price and occasion,Depends on availability,Unbranded / local products,"Price, Quality, Brand name",Disagree,Neutral,Yes,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Combination of both
Below 20,male,Undergraduate,Student,Not applicable,Central Suburbs,Occasionally,Depends on the product,Electronics,Depends on price and occasion,Both equally,Branded products,Quality,Neutral,Neutral,No,Disagree,Agree,Disagree,Agree,Disagree,Agree,Smart spender (value-oriented)
31–40,female,Undergraduate,Salaried employee,"40,001 – 60,000",Central Suburbs,Frequently,Both,"Clothing, Electronics",Both,Both equally,Depends on warranty and price,"Price, Quality, Brand name",Agree,Neutral,Sometimes,Disagree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Smart spender (value-oriented)
41–50,male,Postgraduate,Self-employed / Business,"Above 60,000",Navi Mumbai,Rarely,Mostly branded,"Clothing, Electronics",Depends on price and occasion,Mostly branded packaged products,Branded products,"Quality, Brand name, Advertisement",Strongly Agree,Disagree,No,Strongly Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Status-oriented buyer
Below 20,female,School level,Student,Not applicable,South Mumbai,Occasionally,Both,"Clothing, Personal care products",Both,Both equally,Depends on warranty and price,"Price, Quality",Neutral,Strongly agree,Sometimes,Neutral,Agree,Disagree,Strongly Agree,Neutral,Strongly agree,Smart spender (value-oriented)
Below 20,female,Undergraduate,Student,"Above 60,000",Western Suburbs,Frequently,Mostly unbranded,"Clothing, Electronics",Both,Mostly branded packaged products,both,"Price, Quality, Brand name",Strongly Agree,Strongly agree,No,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly agree,Smart spender (value-oriented)
21–30,male,Postgraduate,Salaried employee,"40,001 – 60,000",Thane,Very frequently,Mostly branded,"Clothing, Personal care products",Branded stores only,Both equally,Branded products,"Price, Quality, Brand name",Agree,Strongly agree,Sometimes,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly agree,Smart spender (value-oriented)
21–30,female,Undergraduate,Student,"Below 20,000",South Mumbai,Very frequently,Mostly branded,Clothing,Branded stores only,Mostly branded packaged products,Branded products,"Price, Quality",Strongly Agree,Agree,Yes,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Neutral,Smart spender (value-oriented)
